Obervation Record Identification,Sub Population,Date,Longitude Raw,Latitude Raw,Recorder Type,Feature ,Count,Direction,Distance,Sampling,On/Off the Transect
Identification de líobservation,Sous-population,Date,Longitude brute,Latitude brute,Type díobservateur,CaractÈristique†,Nombre†,Direction†,Distance†,…chantillonnage†,Sur/Hors du transect
1,Nyarling,07/03/2002,-114.0305755,60.39521202,,Bison,2,N,<500,Sample,On
2,Nyarling,07/03/2002,-113.9488046,60.36890646,,Bison,16,NR,Exact,Sample,Off
3,Nyarling,07/03/2002,-113.9574115,60.3717072,,Bison,26,NR,Exact,Sample,Off
4,Delta,07/03/2002,-111.7876842,58.26911655,,Bison,7,N,<500,100%,On
5,Delta,07/03/2002,-111.826797,58.34349979,,Bison,3,N,Exact,100%,Off
6,Delta,07/03/2002,-111.8093612,58.35286278,,Bison,1,N,Exact,100%,Off
7,Delta,07/03/2002,-111.7483553,58.44124762,,Bison,1,S,<500,100%,Off
8,Delta,07/03/2002,-111.6013505,58.49839169,,Bison,1,N,500-1000,100%,Off
9,Delta,07/03/2002,-111.2603712,58.55604859,,Bison,30,N,Exact,100%,Off
10,Delta,07/03/2002,-111.5128716,58.54269621,,Bison,15,NR,500-1000,100%,Off
11,Delta,07/03/2002,-111.8387969,58.54185268,,Bison,1,S,<500,100%,On
12,Delta,07/03/2002,-111.9046049,58.56605688,,Bison,1,S,<500,100%,On
13,Delta,07/03/2002,-111.6194209,58.56103543,,Bison,6,N,<500,100%,On
14,Delta,07/03/2002,-111.4344777,58.56323018,,Bison,2,N,Exact,100%,On
15,Delta,07/03/2002,-111.5372401,58.58591762,,Bison,1,N,<500,100%,On
16,Delta,07/03/2002,-111.6442787,58.5854655,,Bison,8,S,<500,100%,On
17,Delta,07/03/2002,-111.6589862,58.58506499,,Bison,3,N,500-1000,100%,Off
18,Delta,07/03/2002,-111.6847473,58.60677997,,Bison,5,S,<500,100%,On
19,Delta,07/03/2002,-111.5936439,58.62960262,,Bison,1,N,500-1000,100%,Off
20,Delta,07/03/2002,-111.6171872,58.62936454,,Bison,4,S,<500,100%,On
21,Nyarling,08/03/2002,-113.5732841,60.25990609,,Bison,4,NR,Exact,NR,Off
22,Little Buffalo,08/03/2002,-113.0798239,60.21583297,,Bison,3,N,500-1000,Sample,Off
23,Nyarling,08/03/2002,-113.4174909,60.18055138,,Bison,1,S,<500,NR,On
24,Little Buffalo,08/03/2002,-112.9050977,60.60801914,,Bison,2,NR,NR,NR,Off
25,Little Buffalo,08/03/2002,-113.2826277,60.78224313,,Bison,1,NR,Exact,Sample,Off
26,Little Buffalo,08/03/2002,-113.2426722,60.77448847,,Bison,2,S,500-1000,Sample,Off
27,Little Buffalo,08/03/2002,-113.3311495,60.77147661,,Bison,1,S,<500,Sample,On
28,Little Buffalo,08/03/2002,-113.2405412,60.75140943,,Bison,3,S,500-1000,Sample,Off
29,Little Buffalo,08/03/2002,-113.1160987,60.69276797,,Bison,1,SE,500-1000,Sample,Off
30,Little Buffalo,08/03/2002,-113.2929559,60.6523008,,Bison,2,S,Exact,NR,Off
31,Little Buffalo,08/03/2002,-112.9968569,60.65481982,,Bison,3,S,Exact,NR,Off
32,Little Buffalo,08/03/2002,-112.9376702,60.66535266,,Bison,2,NR,<500,Sample,On
33,Little Buffalo,08/03/2002,-113.2829768,60.6312015,,Bison,1,S,Exact,Sample,Off
34,Little Buffalo,08/03/2002,-112.8463989,60.60908552,,Bison,38,S,Exact,Sample,Off
35,Little Buffalo,08/03/2002,-112.8317427,60.58476231,,Bison,47,NR,Exact,Sample,Off
36,Delta,08/03/2002,-112.2089984,58.96613266,,Bison,65,NR,Exact,100%,Off
37,Delta,08/03/2002,-112.0992069,58.79820026,,Bison,10,W,Exact,100%,On
38,Delta,08/03/2002,-112.0556753,58.74200608,,Bison,5,E,<500,100%,On
39,Delta,08/03/2002,-112.0087485,58.75848011,,Bison,1,E,500-1000,100%,Off
40,Delta,08/03/2002,-111.9675326,58.85496419,,Bison,1,N,<500,100%,On
41,Delta,08/03/2002,-111.9241203,58.77670102,,Bison,2,W,<500,100%,On
42,Delta,08/03/2002,-111.8871993,58.87586718,,Bison,1,W,<500,100%,On
43,Delta,08/03/2002,-111.8853244,58.80464198,,Bison,5,E,<500,100%,On
44,Delta,08/03/2002,-111.8844998,58.79392905,,Bison,8,E,<500,100%,On
45,Delta,08/03/2002,-111.8353862,58.8321808,,Bison,3,W,<500,100%,On
46,Delta,08/03/2002,-111.8629902,58.84511055,,Bison,1,NR,Exact,100%,Off
47,Delta,08/03/2002,-111.8395084,58.88609894,,Bison,21,E,500-1000,100%,Off
48,Delta,08/03/2002,-111.7932461,58.76236292,,Bison,97,E,<500,100%,On
49,Delta,08/03/2002,-111.8041361,58.69446534,,Bison,5,NR,Exact,100%,Off
50,Delta,08/03/2002,-111.7927952,58.69965546,,Bison,1,W,<500,100%,On
51,Delta,08/03/2002,-111.7673421,58.72834488,,Bison,2,S,<500,100%,Off
52,Delta,08/03/2002,-111.7460126,58.74154475,,Bison,1,W,<500,100%,On
53,Delta,08/03/2002,-111.6639173,58.71779129,,Bison,1,W,<500,100%,On
54,Delta,08/03/2002,-111.6253394,58.82025992,,Bison,3,E,<500,100%,On
55,Delta,08/03/2002,-111.6227304,58.71086239,,Bison,1,W,<500,100%,On
56,Delta,08/03/2002,-111.5375546,58.82754788,,Bison,2,W,<500,100%,On
57,Delta,08/03/2002,-111.4896548,58.69776559,,Bison,2,E,<500,100%,On
58,Delta,08/03/2002,-111.4878072,58.70781548,,Bison,2,W,<500,100%,On
59,Delta,08/03/2002,-111.4914559,58.82486925,,Bison,2,W,500-1000,100%,Off
60,Delta,08/03/2002,-111.4070421,58.80715668,,Bison,1,E,<500,100%,On
61,Delta,08/03/2002,-111.4074534,58.81525632,,Bison,4,W,500-1000,100%,Off
62,Delta,08/03/2002,-111.3992453,58.83824051,,Bison,1,N,<500,100%,On
63,Delta,08/03/2002,-111.4088065,58.97070989,,Bison,7,E,500-1000,100%,Off
64,Delta,08/03/2002,-111.3625485,58.83784432,,Bison,1,E,<500,100%,On
65,Little Buffalo,09/03/2002,-112.7964934,60.57849412,,Bison,1,N,<500,Sample,On
66,Little Buffalo,09/03/2002,-112.7614113,60.53431258,,Bison,2,N,<500,Sample,On
67,Little Buffalo,09/03/2002,-112.743412,60.53461289,,Bison,4,S,<500,Sample,On
68,Little Buffalo,09/03/2002,-112.7440286,60.54411457,,Bison,1,NR,Exact,Sample,Off
69,Little Buffalo,09/03/2002,-112.7187922,60.52264802,,Bison,5,NR,Exact,Sample,Off
70,Little Buffalo,09/03/2002,-112.5186265,60.51303411,,Bison,7,S,500-1000,Sample,Off
71,Little Buffalo,09/03/2002,-112.5425874,60.51334733,,Bison,2,N,<500,Sample,On
72,Little Buffalo,09/03/2002,-112.5615327,60.51302218,,Bison,2,NR,500-1000,Sample,Off
73,Little Buffalo,09/03/2002,-112.5374134,60.50179889,,Bison,2,NR,Exact,Sample,Off
74,Little Buffalo,09/03/2002,-112.7101689,60.51142945,,Bison,2,N,500-1000,Sample,Off
75,Little Buffalo,09/03/2002,-112.6309702,60.49094169,,Bison,3,S,<500,Sample,On
76,Little Buffalo,09/03/2002,-112.5402934,60.46846406,,Bison,1,N,<500,Sample,On
77,Little Buffalo,09/03/2002,-112.5716557,60.46680624,,Bison,6,N,<500,Sample,On
78,Little Buffalo,09/03/2002,-112.6118825,60.4778051,,Bison,1,NR,Exact,Sample,Off
79,Little Buffalo,09/03/2002,-112.6522846,60.44459319,,Bison,4,NR,<500,Sample,On
80,Little Buffalo,09/03/2002,-112.517337,60.43104442,,Bison,2,NR,Exact,Sample,Off
81,Little Buffalo,09/03/2002,-112.4985967,60.44286509,,Bison,1,NR,Exact,Sample,On
82,Little Buffalo,09/03/2002,-112.5904937,60.42302482,,Bison,1,NR,<500,Sample,On
83,Little Buffalo,09/03/2002,-112.6594408,60.43551921,,Bison,24,NR,Exact,Sample,Off
84,Little Buffalo,09/03/2002,-112.6594408,60.43551921,,Bison,2,NR,NR,Sample,Off
85,Little Buffalo,09/03/2002,-112.6234146,60.42423735,,Bison,35,NR,Exact,Sample,On
86,Little Buffalo,09/03/2002,-112.6681526,60.42110859,,Bison,3,N,500-1000,Sample,Off
87,Little Buffalo,09/03/2002,-112.4787458,60.39453646,,Bison,19,NR,Exact,Sample,Off
88,Little Buffalo,09/03/2002,-112.5297245,60.37794251,,Bison,42,NR,Exact,Sample,On
89,Little Buffalo,09/03/2002,-112.5111613,60.37881168,,Bison,14,NR,Exact,Sample,On
90,Little Buffalo,09/03/2002,-112.7148216,60.37732358,,Bison,2,S,500-1000,Sample,Off
91,Little Buffalo,09/03/2002,-112.7594134,60.34165642,,Bison,20,N,<500,Sample,Off
92,Little Buffalo,09/03/2002,-112.5311424,60.3063437,,Bison,12,E,Exact,Sample,On
93,Little Buffalo,09/03/2002,-112.5983929,60.22241916,,Bison,1,N,500-1000,Sample,Off
94,Little Buffalo,09/03/2002,-112.7131763,60.18663438,,Bison,23,NR,Exact,Sample,Off
95,GardenRiver,09/03/2002,-112.6594845,58.88354614,,Bison,7,N,500-1000,100%,Off
96,GardenRiver,09/03/2002,-112.6454394,58.85013201,,Bison,16,E,500-1000,100%,Off
97,GardenRiver,09/03/2002,-112.6471047,58.83968911,,Bison,,S,500-1000,100%,Off
98,GardenRiver,09/03/2002,-112.8362298,58.83797236,,Bison,1,N,<500,100%,On
99,GardenRiver,09/03/2002,-112.5539915,58.8097197,,Bison,1,SE,500-1000,100%,Off
100,GardenRiver,09/03/2002,-112.7267275,58.7955559,,Bison,2,N,500-1000,100%,Off
101,GardenRiver,09/03/2002,-112.8056655,58.79486444,,Bison,3,N,500-1000,100%,Off
102,Delta,09/03/2002,-112.512947,58.77743297,,Bison,30,NW,500-1000,100%,Off
103,Delta,09/03/2002,-112.3356286,58.77201163,,Bison,3,N,500-1000,100%,Off
104,Delta,09/03/2002,-112.5958464,58.72749336,,Bison,5,N,<500,100%,On
105,Delta,09/03/2002,-112.4574533,58.70681467,,Bison,2,N,<500,100%,On
106,GardenRiver,09/03/2002,-112.6477606,58.70488662,,Bison,8,S,500-1000,100%,Off
107,Delta,09/03/2002,-112.6047234,58.63735553,,Bison,5,S,<500,100%,On
108,GardenRiver,09/03/2002,-112.7830041,58.61567928,,Bison,2,S,<500,100%,On
109,Delta,09/03/2002,-112.1843193,58.47850321,,Bison,3,S,500-1000,100%,Off
110,Delta,09/03/2002,-112.4826872,59.10027334,,Bison,1,S,NR,100%,Off
111,Delta,09/03/2002,-112.437493,59.0698815,,Bison,3,W,500-1000,100%,Off
112,Delta,09/03/2002,-112.4758781,59.05439325,,Bison,6,S,<500,100%,On
113,Delta,09/03/2002,-112.5708952,59.05596996,,Bison,1,S,<500,100%,On
114,Delta,09/03/2002,-112.5920753,59.03357549,,Bison,3,S,<500,100%,On
115,Hay Camp,10/03/2002,-112.3459047,59.94866411,,Bison,2,N,Exact,Sample,Off
116,Hay Camp,10/03/2002,-112.2497063,59.90132806,,Bison,3,NR,Exact,100%,On
117,Hay Camp,10/03/2002,-112.2636926,59.88343407,,Bison,8,S,<500,Sample,On
118,Hay Camp,10/03/2002,-112.1543756,59.84489683,,Bison,7,N,<500,Sample,On
119,Hay Camp,10/03/2002,-112.1543756,59.84489683,,Bison,12,N,<500,Sample,Off
120,Hay Camp,10/03/2002,-111.8581238,59.73863968,,Bison,8,S,<500,100%,On
121,Hay Camp,10/03/2002,-111.9012242,59.72649478,,Bison,1,S,<500,100%,Off
122,Hay Camp,10/03/2002,-111.7272708,59.39853199,,Bison,3,NR,Exact,Sample,On
123,Hay Camp,10/03/2002,-111.9603213,59.39769298,,Bison,4,NR,Exact,Sample,On
124,Hay Camp,10/03/2002,-111.7239588,59.4224329,,Bison,48,NR,Exact,100%,On
125,Hay Camp,10/03/2002,-111.6824541,59.42676132,,Bison,119,NR,Exact,100%,Off
126,Hay Camp,10/03/2002,-111.6223296,59.43048986,,Bison,257,NR,Exact,100%,Off
127,Hay Camp,10/03/2002,-111.4560202,59.44093653,,Bison,2,NR,Exact,NR,Off
128,Hay Camp,10/03/2002,-111.6343449,59.44471127,,Bison,1,N,500-1000,NR,Off
129,Hay Camp,10/03/2002,-112.0373801,59.44081695,,Bison,1,S,<500,NR,On
130,Hay Camp,10/03/2002,-111.7580537,59.46367772,,Bison,4,N,500-1000,Sample,On
131,Hay Camp,10/03/2002,-111.6689408,59.46582949,,Bison,1,NR,<500,Sample,On
132,Hay Camp,10/03/2002,-111.5934127,59.48506731,,Bison,4,N,500-1000,NR,Off
133,Hay Camp,10/03/2002,-111.6792291,59.50317265,,Bison,121,NR,Exact,100%,Off
134,Hay Camp,10/03/2002,-111.7727946,59.48840824,,Bison,1,S,<500,NR,On
135,Hay Camp,10/03/2002,-111.7961373,59.48808745,,Bison,4,S,<500,NR,On
136,Hay Camp,10/03/2002,-111.825073,59.5109115,,Bison,1,N,Exact,NR,On
137,Hay Camp,10/03/2002,-111.7484078,59.51128678,,Bison,35,NR,Exact,100%,On
138,Hay Camp,10/03/2002,-111.676248,59.50805413,,Bison,1,NR,NR,NR,Off
139,Hay Camp,10/03/2002,-111.4301677,59.55006654,,Bison,33,NR,NR,100%,Off
140,Hay Camp,10/03/2002,-111.6738099,59.5647281,,Bison,32,NR,Exact,100%,Off